"filename", "language", "JSON", "HTML", "Markdown", "YAML", "Dart", "Shell Script", "Objective-C", "C++", "XML", "Ruby", "Groovy", "Properties", "Java", "Swift", "comment", "blank", "total"
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\lib\app\utils\utils.dart", "Dart", 0, 0, 0, 0, 297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 39, 386
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\lib\app\views\views\report_view.dart", "Dart", 0, 0, 0, 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 16, 315
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\lib\main.dart", "Dart", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 68
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\CHANGELOG.md", "Markdown", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 87
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\README.md", "Markdown", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 180
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\README_zh.md", "Markdown", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 95
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\android\app\src\main\java\io\flutter\plugins\GeneratedPluginRegistrant.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 3, 4, 24
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 3, 11, 62
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 1, 7
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\ios\Flutter\Flutter.podspec", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 6, 2, 19
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\ios\Flutter\flutter_export_environment.sh", "Shell Script", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 14
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\ios\Runner\AppDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\ios\Runner\AppDelegate.m", "Objective-C", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 4, 14
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 1, 38
